@relation sensordata

@attribute max numeric
@attribute min numeric
@attribute std_dev numeric
@attribute activity {Cycling,Walking}

@data
10.503894,7.349799,2.073353,Cycling
11.571906,8.297805,2.267619,Cycling
12.249735,8.945107,2.289851,Cycling
12.544388,6.718871,2.079665,Cycling
11.179697,7.823856,2.21927,Cycling
11.513355,8.973931,2.278839,Cycling
12.206618,7.27804,2.1934,Cycling
12.208368,6.80443,2.126466,Cycling
11.799687,8.694604,2.284463,Cycling
12.402078,8.531705,2.309704,Cycling
10.42932,6.657113,2.060172,Cycling
12.188639,8.827401,2.275122,Cycling
12.337305,9.260634,2.294224,Cycling
10.951237,6.090462,2.070701,Cycling
13.113331,8.214058,2.241067,Cycling
11.611548,8.891496,2.292188,Cycling
12.086773,7.397509,2.193111,Cycling
10.732032,7.56895,2.090589,Cycling
11.746225,8.682613,2.302859,Cycling
11.219012,8.734318,2.227963,Cycling
10.75436,8.169085,2.194813,Cycling
10.787431,8.361711,2.203413,Cycling
10.342111,9.173402,2.210312,Cycling
11.879006,7.024963,2.214477,Cycling
15.696704,3.443094,2.172677,Cycling
17.624486,4.283104,2.222634,Cycling
12.352582,7.839857,2.238908,Cycling
13.156149,6.584945,2.256867,Cycling
12.16564,2.54814,1.899016,Cycling
14.166896,4.592525,2.204576,Cycling
13.298925,3.930687,2.206417,Cycling
13.740615,3.980613,2.158723,Cycling
13.320823,3.227366,2.24801,Cycling
12.462909,1.572063,1.955702,Cycling
12.89993,4.421844,2.18468,Cycling
14.055735,3.858163,2.200305,Cycling
13.284795,4.601109,2.237841,Cycling
11.880809,4.573422,2.138565,Cycling
12.906276,2.000929,1.957023,Cycling
12.976824,5.381449,2.194238,Cycling
12.389307,4.299365,2.185321,Cycling
13.566139,4.965696,2.153808,Cycling
11.660011,4.313243,2.002598,Cycling
13.537533,6.940446,2.245741,Cycling
12.656249,6.126169,2.201335,Cycling
12.383399,7.410293,2.226746,Cycling
11.770634,4.103421,2.003876,Cycling
12.598589,4.046486,2.1811,Cycling
13.033974,6.329971,2.200008,Cycling
12.281816,6.901621,2.196854,Cycling
12.493344,4.563567,2.125262,Cycling
11.990523,5.208842,2.085396,Cycling
12.382863,7.382678,2.23907,Cycling
11.636947,7.343384,2.174175,Cycling
11.840724,7.77584,2.221243,Cycling
11.995286,7.754749,2.142723,Cycling
13.134817,7.782644,2.176986,Cycling
12.700568,8.237565,2.242747,Cycling
12.389633,7.315101,2.198556,Cycling
11.521477,4.705517,1.999912,Cycling
11.270694,4.791747,2.086241,Cycling
12.306136,7.820777,2.227924,Cycling
12.5603,7.578951,2.208733,Cycling
13.566736,6.777338,2.177246,Cycling
13.284231,4.694942,2.006314,Cycling
14.488599,6.737095,2.228322,Cycling
13.444501,5.889213,2.232331,Cycling
13.437844,7.388517,2.233218,Cycling
13.121799,4.655927,2.126899,Cycling
13.940609,6.372627,2.209539,Cycling
13.713773,6.752686,2.1978,Cycling
12.11744,4.327098,2.100611,Cycling
13.253988,7.284102,2.207782,Cycling
12.637646,7.235588,2.199073,Cycling
13.391128,4.769663,2.229337,Cycling
10.672406,5.394614,2.041826,Cycling
10.19224,9.259576,2.217801,Cycling
9.994483,9.529904,2.205992,Cycling
10.342326,9.542583,2.214975,Cycling
12.009638,4.597587,2.000833,Cycling
12.717846,5.517997,2.183977,Cycling
12.799333,3.613794,2.236057,Cycling
11.944301,6.250474,2.200015,Cycling
13.633154,6.429727,2.195872,Cycling
17.029208,3.799666,2.12018,Cycling
11.279914,7.23784,2.210478,Cycling
12.870916,4.399893,2.135319,Cycling
14.116197,6.455304,2.273521,Cycling
12.17407,7.334435,2.236966,Cycling
12.186008,6.116825,2.164076,Cycling
12.989731,5.303686,2.170862,Cycling
12.474745,5.317505,2.064487,Cycling
12.530837,6.245853,2.240679,Cycling
11.389606,6.538748,2.170166,Cycling
13.375823,5.457039,2.188199,Cycling
12.695303,4.846893,2.039484,Cycling
12.397223,6.002592,2.152966,Cycling
13.868175,6.0837,2.304102,Cycling
16.633787,3.358654,2.264472,Cycling
18.423582,4.012222,2.04781,Cycling
12.454457,4.567079,2.073276,Cycling
15.481177,5.487713,2.307678,Cycling
12.703248,5.121642,2.093226,Cycling
14.564656,6.315736,2.11523,Cycling
11.592269,5.117663,2.113074,Cycling
12.216153,5.337178,2.19116,Cycling
14.835259,6.326102,2.251523,Cycling
12.361862,5.106492,2.209306,Cycling
13.026703,5.933507,2.22734,Cycling
12.857598,3.294367,2.20983,Cycling
13.035741,5.843679,2.236761,Cycling
12.361242,6.618842,2.232657,Cycling
12.400297,5.908124,2.149062,Cycling
11.452236,4.539214,2.13617,Cycling
11.992232,5.702109,2.20207,Cycling
11.664385,7.538146,2.167613,Cycling
12.165991,7.214689,2.231742,Cycling
10.920915,5.287516,2.036569,Cycling
11.474789,7.068406,2.184536,Cycling
12.143933,7.428838,2.292145,Cycling
13.002329,7.807575,2.249309,Cycling
11.552906,3.736495,2.052971,Cycling
11.80193,6.262371,2.150192,Cycling
12.193201,6.961143,2.233654,Cycling
12.183105,6.888365,2.261494,Cycling
11.551477,5.076109,2.141607,Cycling
11.446852,5.291265,2.058267,Cycling
11.367136,8.365752,2.212881,Cycling
12.002582,7.142352,2.230588,Cycling
11.191341,7.349493,2.189097,Cycling
10.928377,5.632665,2.015473,Cycling
12.252708,6.269018,2.158252,Cycling
11.879867,6.078452,2.238304,Cycling
12.221818,6.04423,2.200949,Cycling
11.240007,3.961917,2.012603,Cycling
13.560304,6.960103,2.178367,Cycling
11.805663,6.955159,2.226435,Cycling
12.381041,7.151291,2.234405,Cycling
13.507716,5.071983,2.25131,Cycling
13.343374,4.525831,2.131265,Cycling
11.673349,5.7334,2.177821,Cycling
12.052128,6.589932,2.151714,Cycling
12.757718,5.050544,2.221513,Cycling
12.456608,7.135132,2.250789,Cycling
12.407762,5.939637,2.208434,Cycling
12.703957,4.601438,2.121882,Cycling
13.386875,4.986032,2.225496,Cycling
13.363536,6.342659,2.252131,Cycling
14.339604,4.832563,2.244044,Cycling
13.01793,4.771406,2.17186,Cycling
11.527269,4.290603,2.121877,Cycling
11.998539,6.400732,2.168608,Cycling
13.016421,6.651492,2.276888,Cycling
11.857935,7.46431,2.189561,Cycling
14.011451,1.702903,2.111421,Cycling
14.030571,4.762015,2.233447,Cycling
12.849509,4.535998,2.223219,Cycling
11.952248,3.397041,2.209635,Cycling
13.907374,4.220851,2.182711,Cycling
13.99168,5.176623,2.251036,Cycling
12.214207,4.57615,2.173071,Cycling
12.829863,4.675104,2.246174,Cycling
12.435539,4.974954,2.101116,Cycling
13.838381,3.032132,2.08667,Cycling
13.324508,3.863309,2.237347,Cycling
12.680654,5.827913,2.22495,Cycling
12.261449,6.574007,2.136911,Cycling
11.505889,3.661351,1.813708,Cycling
13.218006,4.251292,2.233966,Cycling
11.656004,5.951824,2.201791,Cycling
12.744643,6.293772,2.207729,Cycling
12.186744,3.517271,2.121223,Cycling
12.680681,4.457183,2.173454,Cycling
11.897947,5.617378,2.198941,Cycling
12.927161,3.863993,2.204691,Cycling
12.135759,7.36857,2.21651,Cycling
12.358329,1.724879,2.045827,Cycling
13.599392,2.52078,2.223501,Cycling
12.759492,3.707138,2.194284,Cycling
12.693275,5.205106,2.199402,Cycling
12.548766,4.441312,2.065685,Cycling
12.424457,3.77989,2.158264,Cycling
14.176634,3.380269,2.234162,Cycling
12.54749,4.135508,2.214102,Cycling
12.440768,2.030441,2.04139,Cycling
15.292486,5.243175,2.276888,Cycling
12.436077,4.207548,2.176556,Cycling
12.468087,5.75711,2.258414,Cycling
12.612054,4.68915,2.136329,Cycling
13.294178,2.588664,2.069861,Cycling
12.592405,7.112902,2.243641,Cycling
11.772795,6.439816,2.193671,Cycling
12.337336,4.911898,2.183878,Cycling
11.398902,5.559139,2.033169,Cycling
14.619652,5.394422,2.121899,Cycling
13.767283,6.57502,2.28544,Cycling
13.35941,4.361396,2.242926,Cycling
11.899873,4.710002,2.094516,Cycling
12.703129,4.686085,2.168212,Cycling
11.554324,6.683829,2.202177,Cycling
13.718906,6.330779,2.272919,Cycling
12.262659,2.222733,2.041396,Cycling
11.925221,4.786677,2.137486,Cycling
11.420409,6.911141,2.235936,Cycling
12.170294,7.723768,2.195504,Cycling
17.145291,3.98677,2.199667,Cycling
12.39513,4.814732,2.046312,Cycling
13.929679,5.060032,2.27866,Cycling
15.431181,3.737683,2.237893,Cycling
16.145069,3.749811,2.257126,Cycling
12.902856,2.970876,2.071265,Cycling
11.576522,5.053326,2.175104,Cycling
10.97901,6.969475,2.185264,Cycling
11.626255,8.083218,2.217917,Cycling
10.480053,6.050497,2.087598,Cycling
10.805948,6.899831,2.160358,Cycling
11.117535,8.246665,2.229439,Cycling
12.918522,5.249864,2.168681,Cycling
12.142386,6.042236,2.163563,Cycling
15.594469,2.638629,2.064194,Cycling
15.219493,4.640311,2.268464,Cycling
14.990897,2.100439,2.153793,Cycling
16.128439,1.948967,2.297393,Cycling
